Pregunta,URL,Scraping
Question #: 89,https://www.examtopics.com/discussions/microsoft/view/61583-exam-sc-900-topic-1-question-89-discussion/,True
Question #: 90,https://www.examtopics.com/discussions/microsoft/view/79401-exam-az-900-topic-1-question-90-discussion/,True
Question #: 91,https://www.examtopics.com/discussions/microsoft/view/78399-exam-az-900-topic-1-question-91-discussion/,True
Question #: 92,https://www.examtopics.com/discussions/microsoft/view/78787-exam-az-900-topic-1-question-92-discussion/,True
Question #: 93,https://www.examtopics.com/discussions/microsoft/view/82618-exam-az-900-topic-1-question-93-discussion/,True
Question #: 95,https://www.examtopics.com/discussions/microsoft/view/78779-exam-az-900-topic-1-question-95-discussion/,True
Question #: 96,https://www.examtopics.com/discussions/microsoft/view/11601-exam-az-900-topic-1-question-96-discussion/,True
Question #: 97,https://www.examtopics.com/discussions/microsoft/view/61122-exam-az-900-topic-1-question-97-discussion/,True
Question #: 98,https://www.examtopics.com/discussions/microsoft/view/9953-exam-az-900-topic-1-question-98-discussion/,True
Question #: 99,https://www.examtopics.com/discussions/microsoft/view/45536-exam-az-900-topic-1-question-99-discussion/,True
Question #: 100,https://www.examtopics.com/discussions/microsoft/view/44003-exam-az-900-topic-1-question-100-discussion/,True
Question #: 101,https://www.examtopics.com/discussions/microsoft/view/7698-exam-az-900-topic-1-question-101-discussion/,True
Question #: 102,https://www.examtopics.com/discussions/microsoft/view/20073-exam-az-900-topic-1-question-102-discussion/,True
Question #: 103,https://www.examtopics.com/discussions/microsoft/view/45977-exam-az-900-topic-1-question-103-discussion/,True
Question #: 104,https://www.examtopics.com/discussions/microsoft/view/47988-exam-az-900-topic-1-question-104-discussion/,True
Question #: 105,https://www.examtopics.com/discussions/microsoft/view/7785-exam-az-900-topic-1-question-105-discussion/,True
Question #: 107,https://www.examtopics.com/discussions/microsoft/view/7995-exam-az-900-topic-1-question-107-discussion/,True
Question #: 108,https://www.examtopics.com/discussions/microsoft/view/47314-exam-az-900-topic-1-question-108-discussion/,True
Question #: 109,https://www.examtopics.com/discussions/microsoft/view/44750-exam-az-900-topic-1-question-109-discussion/,True
Question #: 110,https://www.examtopics.com/discussions/microsoft/view/11144-exam-az-900-topic-1-question-110-discussion/,True
Question #: 111,https://www.examtopics.com/discussions/microsoft/view/3205-exam-az-900-topic-1-question-111-discussion/,True
Question #: 112,https://www.examtopics.com/discussions/microsoft/view/44752-exam-az-900-topic-1-question-112-discussion/,True
Question #: 121,https://www.examtopics.com/discussions/microsoft/view/44258-exam-az-900-topic-1-question-121-discussion/,True
Question #: 122,https://www.examtopics.com/discussions/microsoft/view/4466-exam-az-900-topic-1-question-122-discussion/,True
Question #: 123,https://www.examtopics.com/discussions/microsoft/view/51304-exam-az-900-topic-1-question-123-discussion/,True
Question #: 124,https://www.examtopics.com/discussions/microsoft/view/51489-exam-az-900-topic-1-question-77-discussion/,True
Question #: 125,https://www.examtopics.com/discussions/microsoft/view/51886-exam-az-900-topic-1-question-125-discussion/,True
Question #: 126,https://www.examtopics.com/discussions/microsoft/view/53294-exam-az-900-topic-1-question-126-discussion/,True
Question #: 132,https://www.examtopics.com/discussions/microsoft/view/45560-exam-az-900-topic-1-question-132-discussion/,True
Question #: 133,https://www.examtopics.com/discussions/microsoft/view/61255-exam-az-900-topic-1-question-133-discussion/,True
Question #: 134,https://www.examtopics.com/discussions/microsoft/view/63081-exam-az-900-topic-1-question-134-discussion/,True
Question #: 135,https://www.examtopics.com/discussions/microsoft/view/69096-exam-az-900-topic-1-question-135-discussion/,True
