Pregunta,URL,Scraping
Question #: 77,https://www.examtopics.com/discussions/microsoft/view/102306-exam-ai-900-topic-1-question-77-discussion/,True
Question #: 78,https://www.examtopics.com/discussions/microsoft/view/65060-exam-ai-900-topic-1-question-69-discussion/,True
Question #: 79,https://www.examtopics.com/discussions/microsoft/view/65342-exam-ai-900-topic-1-question-79-discussion/,True
Question #: 80,https://www.examtopics.com/discussions/microsoft/view/35504-exam-ai-900-topic-1-question-80-discussion/,True
Question #: 81,https://www.examtopics.com/discussions/microsoft/view/54524-exam-ai-900-topic-1-question-55-discussion/,True
Question #: 82,https://www.examtopics.com/discussions/microsoft/view/38549-exam-ai-900-topic-1-question-82-discussion/,True
Question #: 83,https://www.examtopics.com/discussions/microsoft/view/35055-exam-ai-900-topic-1-question-83-discussion/,True
Question #: 84,https://www.examtopics.com/discussions/microsoft/view/82888-exam-ai-900-topic-1-question-84-discussion/,True
Question #: 85,https://www.examtopics.com/discussions/microsoft/view/34063-exam-ai-900-topic-1-question-85-discussion/,True
Question #: 86,https://www.examtopics.com/discussions/microsoft/view/33464-exam-ai-900-topic-1-question-86-discussion/,True
Question #: 87,https://www.examtopics.com/discussions/microsoft/view/33595-exam-ai-900-topic-1-question-87-discussion/,True
Question #: 88,https://www.examtopics.com/discussions/microsoft/view/65081-exam-ai-900-topic-1-question-88-discussion/,True
Question #: 89,https://www.examtopics.com/discussions/microsoft/view/65500-exam-ai-900-topic-1-question-89-discussion/,True
Question #: 90,https://www.examtopics.com/discussions/microsoft/view/96228-exam-ai-900-topic-1-question-90-discussion/,True
Question #: 91,https://www.examtopics.com/discussions/microsoft/view/102308-exam-ai-900-topic-1-question-91-discussion/,True
Question #: 92,https://www.examtopics.com/discussions/microsoft/view/102309-exam-ai-900-topic-1-question-92-discussion/,True
Question #: 93,https://www.examtopics.com/discussions/microsoft/view/107586-exam-ai-900-topic-1-question-93-discussion/,True
Question #: 94,https://www.examtopics.com/discussions/microsoft/view/38702-exam-ai-900-topic-1-question-94-discussion/,True
Question #: 95,https://www.examtopics.com/discussions/microsoft/view/38742-exam-ai-900-topic-1-question-95-discussion/,True
Question #: 96,https://www.examtopics.com/discussions/microsoft/view/56797-exam-ai-900-topic-1-question-96-discussion/,True
Question #: 97,https://www.examtopics.com/discussions/microsoft/view/38743-exam-ai-900-topic-1-question-97-discussion/,True
Question #: 98,https://www.examtopics.com/discussions/microsoft/view/54196-exam-ai-900-topic-1-question-98-discussion/,True
Question #: 99,https://www.examtopics.com/discussions/microsoft/view/65783-exam-ai-900-topic-1-question-86-discussion/,True
Question #: 100,https://www.examtopics.com/discussions/microsoft/view/54685-exam-ai-900-topic-1-question-100-discussion/,True
Question #: 101,https://www.examtopics.com/discussions/microsoft/view/71379-exam-ai-900-topic-1-question-101-discussion/,True
Question #: 102,https://www.examtopics.com/discussions/microsoft/view/62864-exam-ai-900-topic-1-question-102-discussion/,True
Question #: 103,https://www.examtopics.com/discussions/microsoft/view/66632-exam-ai-900-topic-1-question-103-discussion/,True
Question #: 104,https://www.examtopics.com/discussions/microsoft/view/71815-exam-ai-900-topic-1-question-104-discussion/,True
Question #: 105,https://www.examtopics.com/discussions/microsoft/view/65086-exam-ai-900-topic-1-question-105-discussion/,True
Question #: 106,https://www.examtopics.com/discussions/microsoft/view/69782-exam-ai-900-topic-1-question-106-discussion/,True
Question #: 107,https://www.examtopics.com/discussions/microsoft/view/34064-exam-ai-900-topic-1-question-58-discussion/,True
Question #: 108,https://www.examtopics.com/discussions/microsoft/view/103487-exam-ai-900-topic-1-question-108-discussion/,True
Question #: 109,https://www.examtopics.com/discussions/microsoft/view/54756-exam-ai-900-topic-1-question-109-discussion/,True
Question #: 110,https://www.examtopics.com/discussions/microsoft/view/65748-exam-ai-900-topic-1-question-110-discussion/,True
Question #: 111,https://www.examtopics.com/discussions/microsoft/view/40336-exam-ai-900-topic-1-question-111-discussion/,True
Question #: 112,https://www.examtopics.com/discussions/microsoft/view/104921-exam-ai-900-topic-1-question-112-discussion/,True
